GroupId,ArtifactId,Version,Scope,Parent,AppName
org.aspectj,aspectjweaver,1.9.20,compile,org.springframework.boot:spring-boot-starter-aop:3.1.5--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
org.aspectj,aspectjweaver,1.9.20,compile,org.springframework.boot:spring-boot-starter-aop:3.1.5--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
org.assertj,assertj-core,3.24.2,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.eclipse.angus,angus-activation,2.0.1,runtime,org.glassfish.jaxb:jaxb-core:4.0.3--->org.glassfish.jaxb:jaxb-runtime:4.0.3--->org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.eclipse.paho,org.eclipse.paho.client.mqttv3,1.2.5,compile,org.springframework.integration:spring-integration-mqtt:6.0.2--->,test
org.glassfish.jaxb,jaxb-core,4.0.3,runtime,org.glassfish.jaxb:jaxb-runtime:4.0.3--->org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.glassfish.jaxb,jaxb-runtime,4.0.3,runtime,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.glassfish.jaxb,txw2,4.0.3,runtime,org.eclipse.angus:angus-activation:2.0.1--->org.glassfish.jaxb:jaxb-core:4.0.3--->org.glassfish.jaxb:jaxb-runtime:4.0.3--->org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.hamcrest,hamcrest,2.2,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.hamcrest,hamcrest-core,2.2,test,org.hamcrest:hamcrest-library:2.2--->org.springframework.integration:spring-integration-test-support:6.1.4--->org.springframework.integration:spring-integration-test:6.1.4--->,test
org.hamcrest,hamcrest-library,2.2,test,org.springframework.integration:spring-integration-test-support:6.1.4--->org.springframework.integration:spring-integration-test:6.1.4--->,test
org.hibernate.common,hibernate-commons-annotations,6.0.6.Final,runtime,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.hibernate.orm,hibernate-core,6.2.13.Final,compile,org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.hibernate.validator,hibernate-validator,8.0.1.Final,compile,org.springframework.boot:spring-boot-starter-validation:3.1.5--->,test
org.jboss.logging,jboss-logging,3.5.3.Final,compile,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.junit.jupiter,junit-jupiter,5.9.3,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.junit.jupiter,junit-jupiter-api,5.9.3,test,org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.junit.jupiter,junit-jupiter-engine,5.9.3,test,org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.junit.jupiter,junit-jupiter-params,5.9.3,test,org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.junit.platform,junit-platform-commons,1.9.3,test,org.junit.jupiter:junit-jupiter-api:5.9.3--->org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.junit.platform,junit-platform-engine,1.9.3,test,org.junit.jupiter:junit-jupiter-engine:5.9.3--->org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.mockito,mockito-core,5.3.1,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.mockito,mockito-junit-jupiter,5.3.1,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.objenesis,objenesis,3.3,test,org.mockito:mockito-core:5.3.1--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.opentest4j,opentest4j,1.2.0,test,org.junit.jupiter:junit-jupiter-api:5.9.3--->org.junit.jupiter:junit-jupiter:5.9.3--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.ow2.asm,asm,9.3,test,net.minidev:accessors-smart:2.4.11--->net.minidev:json-smart:2.4.11--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.projectlombok,lombok,1.18.30,compile,,test
org.reactivestreams,reactive-streams,1.0.4,compile,io.projectreactor:reactor-core:3.5.11--->org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
org.reactivestreams,reactive-streams,1.0.4,compile,io.projectreactor:reactor-core:3.5.11--->org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
org.skyscreamer,jsonassert,1.5.1,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
org.slf4j,jul-to-slf4j,2.0.9,compile,org.springframework.boot:spring-boot-starter-logging:3.1.5--->org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.slf4j,slf4j-api,2.0.9,compile,org.springframework.data:spring-data-jpa:3.1.5--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.springdoc,springdoc-openapi-starter-common,2.3.0,compile,org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
org.springdoc,springdoc-openapi-starter-webmvc-api,2.3.0,compile,org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
org.springdoc,springdoc-openapi-starter-webmvc-ui,2.3.0,compile,,test
org.springframework,spring-aop,6.0.13,compile,org.springframework.boot:spring-boot-starter-aop:3.1.5--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
org.springframework,spring-aop,6.0.13,compile,org.springframework.boot:spring-boot-starter-aop:3.1.5--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
org.springframework,spring-aspects,6.0.13,compile,org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
org.springframework,spring-beans,6.0.13,compile,org.springframework:spring-web:6.0.13--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
org.springframework,spring-context,6.0.13,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
org.springframework,spring-context,6.0.13,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
